Year (coverage),Area,population_group,is_synthetic,regional_smoking_history_rate,regional_binge_drinking_rate,regional_insufficient_physical_activity_rate,regional_unhealthy_diet_rate,regional_overweight_rate,regional_obesity_rate,regional_risk_score,screening_risk_category
1st Quarter 2025,NCR,Adult,0,0.008551141256110324,0.022190575860744233,0.009114152105660578,0.008822711195305153,0.028611549008438538,0.004966418058738591,0.0137,Low
1st Quarter 2025,City of Malabon,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Navotas,Adult,0,0.05525782155272306,0.06517960602549247,0.16910486674391656,0.15085457705677868,0.1910486674391657,0.0880648899188876,0.1199,Low
1st Quarter 2025,City of Valenzuela,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Caloocan,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Marikina,Adult,0,0.07824074074074074,0.06921296296296296,0.14166666666666666,0.13449074074074074,0.055324074074074074,0.07407407407407407,0.0922,Low
1st Quarter 2025,City of Pasig,Adult,0,0.05242608986136629,0.10470602973108402,0.0,0.0,0.18667529647569733,0.0,0.0573,Low
1st Quarter 2025,Pateros,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Taguig,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,Quezon City,Adult,0,0.0,0.04003273584689696,0.0,0.0,0.0,0.0,0.0067,Low
1st Quarter 2025,City of Makati,Adult,0,0.023849725622625582,0.0,0.0,0.0,0.0,0.0,0.004,Low
1st Quarter 2025,City of Mandaluyong,Adult,0,0.040747505971617255,0.05219896023605452,0.023956723338485315,0.024448503582970352,0.22600814950119433,0.011416327104116903,0.0631,Low
1st Quarter 2025,City of San Juan,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Manila,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Las Piñas,Adult,0,0.059332509270704575,0.0907646123962564,0.1435193360409677,0.1456825004414621,0.1477132262051916,0.08334804873741833,0.1117,Low
1st Quarter 2025,City of Muntinlupa,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,City of Parañaque,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,Pasay City,Adult,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
1st Quarter 2025,CAR,Adult,0,0.038563816543000846,0.06464319506000697,0.0,0.0,0.13627807380110551,0.13627807380110551,0.0626,Low
1st Quarter 2025,Abra,Adult,0,0.06030709621869843,0.07813733228097869,0.0,0.0,0.06791275023319222,0.06791275023319222,0.0457,Low
1st Quarter 2025,Apayao,Adult,0,0.037027379400260754,0.05684485006518905,0.0,0.0,0.1014993481095176,0.1014993481095176,0.0495,Low
1st Quarter 2025,Benguet,Adult,0,0.028288240021430485,0.05446021966246986,0.0,0.0,0.1657112242164479,0.1657112242164479,0.069,Low
1st Quarter 2025,Ifugao,Adult,0,0.019695153279671175,0.0671775989039219,0.0,0.0,0.1455728720671348,0.1455728720671348,0.063,Low
1st Quarter 2025,Kalinga,Adult,0,0.06427304964539007,0.089904046725073,0.0,0.0,0.13363057989153107,0.13363057989153107,0.0702,Low
1st Quarter 2025,Mountain Province,Adult,0,0.019728543317019023,0.040239164438165394,0.0,0.0,0.08991371915838337,0.08991371915838337,0.04,Low
1st Quarter 2025,City of Baguio,Adult,0,0.0386892177589852,0.06797040169133192,0.0,0.0,0.29815010570824524,0.29815010570824524,0.1172,Low
1st Quarter 2025,Region 1,Adult,0,0.10742339310697989,0.11857494261912818,0.0,0.0,0.14668013936007754,0.0,0.0621,Low
1st Quarter 2025,Ilocos Norte,Adult,0,0.03331534933908821,0.021526841111410844,0.0,0.0,0.0482060965740491,0.0,0.0172,Low
1st Quarter 2025,Ilocos Sur,Adult,0,0.043395956123117224,0.02541748526522593,0.0,0.0,0.1057936313032089,0.0,0.0291,Low
1st Quarter 2025,La Union,Adult,0,0.053383068262556704,0.0858064163524075,0.0,0.0,0.13469421216592883,0.0,0.0456,Low
1st Quarter 2025,Pangasinan,Adult,0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,High
1st Quarter 2025,City of Dagupan,Adult,0,0.049962714392244596,0.09899328859060402,0.0,0.0,0.03570096942580164,0.0,0.0308,Low
1st Quarter 2025,Region 2,Adult,0,0.052573482044299895,0.06205189098088649,0.05877693006800636,0.07839187405764349,0.05091772030684695,0.014550158611876217,0.0529,Low
1st Quarter 2025,Batanes,Adult,0,0.06207233626588465,0.11339198435972629,0.08284457478005865,0.13343108504398826,0.04227761485826002,0.09701857282502444,0.0885,Low
1st Quarter 2025,Cagayan,Adult,0,0.08290500261954321,0.09084859040256008,0.055959106806564435,0.08223241720119508,0.0753578862410263,0.02010676408535463,0.0679,Low
1st Quarter 2025,Isabela,Adult,0,0.04020901124718145,0.048637646328126054,0.07176660410731404,0.08874876794080715,0.04356088735265922,0.014484290401415011,0.0512,Low
1st Quarter 2025,Nueva Vizcaya,Adult,0,0.027420552710784505,0.025153422194425987,0.016612594300902943,0.017941601844975178,0.02980494859867881,0.003928389946448813,0.0201,Low
1st Quarter 2025,Quirino,Adult,0,0.046264958298078085,0.05363834159313429,0.049921431161610054,0.06971473467907652,0.049558805753656475,0.00939804182279705,0.0464,Low
1st Quarter 2025,City of Santiago,Adult,0,0.06980004122861266,0.10045351473922902,0.03613687899402185,0.06899608328179757,0.048608534322820036,0.0065347351061636775,0.0551,Low
1st Quarter 2025,Region 3,Adult,0,0.061127741513889854,0.07460677639529213,0.020038967996751866,0.022538133139854748,0.05058692241716898,0.010246517025074536,0.0399,Low
1st Quarter 2025,Aurora,Adult,0,0.06200400504338797,0.12122672995624119,0.051360973077208334,0.07520581472965956,0.04209003930875918,0.03489579470444263,0.0645,Low
1st Quarter 2025,Bataan,Adult,0,0.03714568562651953,0.028818296961667808,0.002511319134068046,0.002445806461005401,0.0516822198605308,0.00033484255120907276,0.0205,Low
1st Quarter 2025,Bulacan,Adult,0,0.06669092289682665,0.09526687126269497,0.02702091308887272,0.035090328091878384,0.07358338342772171,0.02018698389597241,0.053,Low
1st Quarter 2025,Nueva Ecija,Adult,0,0.08347384357084944,0.09646057701276431,0.022841583376981195,0.02635732889440566,0.050967547516376915,0.009069188436784743,0.0482,Low
1st Quarter 2025,Pampanga,Adult,0,0.05476932191728461,0.05566279336442168,0.03540440333307851,0.023779718675942207,0.016330938001681828,0.0003917896185306934,0.0311,Low
1st Quarter 2025,Tarlac,Adult,0,0.04941868557059746,0.04219516947658505,0.003600159594703683,0.0030387945032614846,0.037407328366102825,0.0007330221855195643,0.0227,Low
1st Quarter 2025,Zambales,Adult,0,0.0366504588162176,0.04377033597777209,0.0,0.0,0.018782217672650165,0.0017548349358388476,0.0168,Low
1st Quarter 2025,City of Angeles,Adult,0,0.08030275059996309,0.08833302565995939,0.0,0.0,0.040551350686111626,0.010830102762906899,0.0367,Low
1st Quarter 2025,City of Olongapo,Adult,0,0.03652590335219852,0.06417065737919025,0.0,0.0,0.01802350892468437,0.0,0.0198,Low
1st Quarter 2025,Region 4A,Adult,0,0.0719921688541476,0.1016308307402981,0.0,0.0,0.11964838801138424,0.0,0.0489,Low
1st Quarter 2025,Batangas,Adult,0,0.09887134752759535,0.11890095478435386,0.0,0.0,0.13230370289415902,0.0,0.0583,Low
1st Quarter 2025,Cavite,Adult,0,0.05249674337820234,0.08539586047184831,0.0,0.0,0.1204660587639311,0.0,0.0431,Low
1st Quarter 2025,Laguna,Adult,0,0.05066095653034954,0.062128676106545204,0.0,0.0,0.09037404693534014,0.0,0.0339,Low
1st Quarter 2025,Quezon,Adult,0,0.06671727058447526,0.13751947584994606,0.0,0.0,0.11491750229715153,0.0,0.0532,Low
1st Quarter 2025,Rizal,Adult,0,0.06462381664175386,0.10866253825895081,0.0,0.0,0.11643533347569222,0.0,0.0483,Low
1st Quarter 2025,City of Lucena,Adult,0,0.05928901145015287,0.08170972963251603,0.0,0.0,0.1296684851028116,0.0,0.0451,Low
1st Quarter 2025,Region 4B,Adult,0,0.12115704276770596,0.15702723276009384,0.03677121685230927,0.04139286324587159,0.10175389538767457,0.05396063444718895,0.0853,Low
1st Quarter 2025,Marinduque,Adult,0,0.016140732680449764,0.024845846935074356,0.0,0.0003627130939426913,0.0,0.002720348204570185,0.0073,Low
1st Quarter 2025,Occidental Mindoro,Adult,0,0.18653192293162071,0.23824140536456365,0.07749338874197205,0.08717415942576502,0.0626652814506989,0.02224216093690971,0.1124,Low
1st Quarter 2025,Oriental Mindoro,Adult,0,0.12788472155765762,0.16528028267510766,0.04470168206411719,0.04921049725790423,0.11332768964628805,0.0725827229563105,0.0955,Low
1st Quarter 2025,Palawan,Adult,0,0.09276849037487335,0.10014564336372847,0.019535207700101316,0.021561550151975684,0.04663753799392097,0.041286727456940224,0.0537,Low
1st Quarter 2025,Romblon,Adult,0,0.06171497584541063,0.13043478260869565,0.005676328502415459,0.015217391304347827,0.18055555555555555,0.041908212560386474,0.0726,Low
1st Quarter 2025,City of Puerto Princesa,Adult,0,0.1489171974522293,0.23057324840764332,0.0,0.0,0.33719745222929937,0.11031847133757962,0.1378,Low
1st Quarter 2025,Region 5,Adult,0,0.08075749588664718,0.0998785961885593,0.06696911124955406,0.03187914996033077,0.13217307497750302,0.008586124822287183,0.07,Low
1st Quarter 2025,Albay,Adult,0,0.031740980867905014,0.017958712859472575,0.016785330734656538,0.017461517043872558,0.023467642496320752,0.009665486655264309,0.0195,Low
1st Quarter 2025,Camarines Norte,Adult,0,0.07641876664617907,0.07652120467117395,0.006419449566345694,0.008058457966263744,0.09427712900361948,0.031994809806733596,0.0489,Low
1st Quarter 2025,Camarines Sur,Adult,0,0.06957315555063764,0.07893717668538548,0.08691803369387811,0.0736050789786716,0.09151013859304545,0.011826053279482144,0.0687,Low
1st Quarter 2025,Catanduanes,Adult,0,0.1385250481097523,0.2739152026817307,0.354491278167484,0.0,0.354491278167484,0.0,0.1869,Low
1st Quarter 2025,Masbate,Adult,0,0.1793886800795932,0.20716338713243423,0.0,0.0,0.2874751271280124,0.0,0.1123,Low
