Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,NCR,377435,2173,4282,8195,8556,4345,2535,4134,2526,13379,8219,2333,1416
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Malabon,10674,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Navotas,6904,327,436,498,402,1447,888,1244,839,1833,805,767,449
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Valenzuela,29323,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Caloocan,45883,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Marikina,2160,124,214,133,166,442,170,409,172,170,69,229,91
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Pasig,23948,875,1636,2299,2716,0,0,0,0,5086,3855,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Pateros,2292,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Taguig,53826,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Quezon City,87366,0,0,3671,3324,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Makati,7107,0,339,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Mandaluyong,14234,397,763,662,824,467,215,434,262,4173,2261,225,100
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of San Juan,3575,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Manila,45081,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Las Piñas,11326,450,894,932,1124,1989,1262,2047,1253,2117,1229,1112,776
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Muntinlupa,11062,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Parañaque,9890,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Pasay City,12784,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,CAR,100405,1707,6037,3033,9948,0,0,0,0,17765,9601,17765,9601
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Abra,13937,430,1251,630,1548,0,0,0,0,1191,702,1191,702
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Apayao,7670,125,443,190,682,0,0,0,0,1139,418,1139,418
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Benguet,18665,260,796,632,1401,0,0,0,0,4004,2182,4004,2182
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Ifugao,11678,180,280,485,1084,0,0,0,0,2212,1188,2212,1188
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Kalinga,19176,409,2056,430,3018,0,0,0,0,2635,2490,2635,2490
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Mountain Province,19819,46,736,87,1508,0,0,0,0,2415,1149,2415,1149
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,City of Baguio,9460,257,475,579,707,0,0,0,0,4169,1472,4169,1472
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1c. Risk Factors AD.xlsx,Region 1,109357,4770,18725,6585,19349,0,0,0,0,18409,13672,0,0
