Year (coverage),Source Folder,Source File,Area,Risk-assessed Population,With history of smoking (Female),With history of smoking (Male),Binge Drinkers (Female),Binge Drinkers (Male),With Insufficient Physical Activity (Female),With Insufficient Physical Activity (Male),Consumed Unhealthy Diet (Female),Consumed Unhealthy Diet (Male),Overweight (Female),Overweight (Male),Obese (Female),Obese (Male)
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,NCR,192931,627,1632,1545,2935,2073,1379,1573,1115,7272,4706,825,551
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Malabon,3678,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Navotas,3165,57,168,84,160,726,367,538,278,752,462,346,187
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Valenzuela,9494,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Caloocan,12658,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Marikina,1213,49,120,43,84,168,103,140,102,87,43,102,64
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Pasig,11926,235,652,320,905,0,0,0,0,3255,2006,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Pateros,1561,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Taguig,18285,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Quezon City,86221,0,0,789,1125,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Makati,3866,59,135,32,73,0,0,0,0,1545,968,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Mandaluyong,4632,68,152,106,170,171,70,172,77,984,655,41,33
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of San Juan,2145,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Manila,16379,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Las Piñas,5446,159,405,171,418,1008,839,723,658,649,572,336,267
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Muntinlupa,3036,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Parañaque,5370,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Pasay City,3856,0,0,0,0,0,0,0,0,0,0,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,CAR,49213,945,2498,823,3331,0,0,0,0,6775,4858,6796,4858
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Abra,7789,317,538,233,659,0,0,0,0,554,541,554,541
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Apayao,4160,74,173,61,271,0,0,0,0,347,203,347,203
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Benguet,13205,168,454,192,537,0,0,0,0,2172,1433,2172,1433
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Ifugao,4222,70,111,97,257,0,0,0,0,543,543,543,543
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Kalinga,7493,208,663,113,807,0,0,0,0,726,669,747,669
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Mountain Province,7542,40,376,28,528,0,0,0,0,1075,513,1075,513
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Baguio,4802,68,183,99,272,0,0,0,0,1358,956,1358,956
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 1,55738,2081,6388,1750,6052,0,0,0,0,7225,5397,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Ilocos Norte,9415,78,375,87,296,0,0,0,0,625,488,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Ilocos Sur,23286,314,1202,162,644,0,0,0,0,2199,1306,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,La Union,20533,469,1104,448,1593,0,0,0,0,2125,1894,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Pangasinan,1,1,1,1,1,0,0,0,0,1,1,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,City of Dagupan,2504,53,125,47,162,0,0,0,0,65,77,0,0
1st Quarter 2025,NCD2024-Q1,C:\DATABASES\NCD2024-Q1\NCD\1d. Risk Factors SC.xlsx,Region 2,102109,3441,8530,2195,7932,8249,7255,10304,7985,5548,4269,1513,1088
